-0.89, 12.73
-0.79, 12.63
-0.70, 12.49
-0.60, 12.58
-0.50, 12.68
-0.41, 12.63
-0.31, 12.87
-0.22, 12.92
-0.12, 13.16
-0.04, 12.97
-0.01, 16.19
0.00, 14.84
0.09, 14.04
0.18, 14.26
0.23, 15.49
0.26, 17.52
0.28, 19.27
0.29, 20.53
0.33, 22.46
0.37, 24.50
0.45, 25.42
0.54, 26.34
0.64, 25.37
0.73, 26.15
0.83, 26.15
0.92, 26.68
1.02, 26.92
1.12, 26.73
1.21, 26.44
1.31, 26.29
1.40, 26.44
1.50, 26.53
1.60, 26.39
1.69, 26.53
1.79, 26.49
1.87, 27.24
